Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-06,06-Jun-2016,953.50,954.39,0.88,7.80,945.70,4.80 - 7.80,948.70 - 945.70,N/A,N/A,14:50,8.20,7.32,,N/A,N/A,8.20,7.32,946.19,946.19,8.69,N/M,645463.505,5867925.859
,18-Oct-2016,,,,,,,,,,12:35,6.39,5.51,,N/A,N/A,6.39,5.51,948.00,948.00,N/M,N/M,,
,29-May-2017,,,,,,,,,,14:20,6.42,5.54,,N/A,N/A,6.42,5.54,947.97,947.97,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:35,6.94,6.06,,N/A,N/A,6.94,6.06,947.45,947.45,8.70,N/M,,
,14-May-2018,,,,,,,,,,14:55,7.62,6.74,,N/A,N/A,7.62,6.74,946.77,946.77,8.70,N/M,,
,10-Oct-2018,,,,,,,,,,10:00,7.36,6.48,,N/A,N/A,7.36,6.48,947.03,947.03,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH7,06-Jun-2016,953.70,954.50,0.80,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,14:40,7.65,6.85,,N/A,N/A,7.65,6.85,946.85,946.85,8.16,N/M,645461.893,5867883.754
,18-Oct-2016,,,,,,,,,,12:30,5.43,4.63,,N/A,N/A,5.43,4.63,949.07,949.07,N/M,N/M,,
,29-May-2017,,,,,,,,,,14:30,5.85,5.05,,N/A,N/A,5.85,5.05,948.65,948.65,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:30,5.75,4.95,,N/A,N/A,5.75,4.95,948.75,948.75,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:50,6.89,6.09,,N/A,N/A,6.89,6.09,947.61,947.61,8.18,N/M,,
,10-Oct-2018,,,,,,,,,,09:55,6.49,5.69,,N/A,N/A,6.49,5.69,948.01,948.01,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-6,07-Jun-2016,951.80,952.37,0.57,6.00,945.80,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,11:00,3.55,2.98,,N/A,N/A,3.55,2.98,948.82,948.82,7.96,N/M,645617.050,5867782.746
,18-Oct-2016,,,,,,,,,,11:30,2.27,1.70,,N/A,N/A,2.27,1.70,950.10,950.10,N/M,N/M,,
