Well name,Group Answer,Date,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
43629,Shallow,06-Jun-16,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,14:50,8.2,7.32,,N/A,N/A,8.2,7.32,946.19,946.19,8.69,N/M,645463.505,5867925.859
43629,Shallow,18-Oct-16,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,12:35,6.39,5.51,,N/A,N/A,6.39,5.51,948,948,N/M,N/M,645463.505,5867925.859
43629,Shallow,29-May-17,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,14:20,6.42,5.54,,N/A,N/A,6.42,5.54,947.97,947.97,N/M,N/M,645463.505,5867925.859
43629,Shallow,17-Oct-17,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,12:35,6.94,6.06,,N/A,N/A,6.94,6.06,947.45,947.45,8.7,N/M,645463.505,5867925.859
43629,Shallow,14-May-18,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,14:55,7.62,6.74,,N/A,N/A,7.62,6.74,946.77,946.77,8.7,N/M,645463.505,5867925.859
43629,Shallow,10-Oct-18,953.5,954.39,0.88,7.8,945.7,4.80 - 7.80,948.70 - 945.70,N/A,N/A,10:00,7.36,6.48,,N/A,N/A,7.36,6.48,947.03,947.03,N/M,N/M,645463.505,5867925.859
TH7,Shallow,06-Jun-16,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,14:40,7.65,6.85,,N/A,N/A,7.65,6.85,946.85,946.85,8.16,N/M,645461.893,5867883.754
TH7,Shallow,18-Oct-16,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,12:30,5.43,4.63,,N/A,N/A,5.43,4.63,949.07,949.07,N/M,N/M,645461.893,5867883.754
TH7,Shallow,29-May-17,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,14:30,5.85,5.05,,N/A,N/A,5.85,5.05,948.65,948.65,N/M,N/M,645461.893,5867883.754
TH7,Shallow,17-Oct-17,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,12:30,5.75,4.95,,N/A,N/A,5.75,4.95,948.75,948.75,N/M,N/M,645461.893,5867883.754
TH7,Shallow,14-May-18,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,14:50,6.89,6.09,,N/A,N/A,6.89,6.09,947.61,947.61,8.18,N/M,645461.893,5867883.754
TH7,Shallow,10-Oct-18,953.7,954.5,0.8,8.34,945.36,7.49 - 8.34,946.21 - 945.36,N/A,N/A,9:55,6.49,5.69,,N/A,N/A,6.49,5.69,948.01,948.01,N/M,N/M,645461.893,5867883.754
35217,Shallow,07-Jun-16,951.8,952.37,0.57,6,945.8,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,11:00,3.55,2.98,,N/A,N/A,3.55,2.98,948.82,948.82,7.96,N/M,645617.05,5867782.746
35217,Shallow,18-Oct-16,951.8,952.37,0.57,6,945.8,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,11:30,2.27,1.7,,N/A,N/A,2.27,1.7,950.1,950.1,N/M,N/M,645617.05,5867782.746
35217,Shallow,30-May-17,951.8,952.37,0.57,6,945.8,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,15:00,2.91,2.34,,N/A,N/A,2.91,2.34,949.46,949.46,7.32,N/M,645617.05,5867782.746
35217,Shallow,18-Oct-17,951.8,952.37,0.57,6,945.8,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,13:35,2.23,1.66,,N/A,N/A,2.23,1.66,950.14,950.14,7.96,N/M,645617.05,5867782.746
35217,Shallow,15-May-18,951.8,952.37,0.57,6,945.8,3.00 - 6.00,948.80 - 945.80,2.60 - 2.70,949.20 - 949.10,17:00,3.71,3.14,,N/A,N/A,3.71,3.14,948.66,948.66,7.95,N/M,645617.05,5867782.746
35217,Shallow,10-Oct-18,,,,,,,,,,16:20,3.09,2.52,,N/A,N/A,3.09,2.52,949.28,949.28,7.96,N/M,645617.05,5867782.746
35401,Shallow,06-Jun-16,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,13:35,4.19,3.55,,N/A,N/A,4.19,3.55,947.27,947.27,8.02,N/M,645466.248,5867809.039
35401,Shallow,18-Oct-16,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,12:15,1.19,0.55,,N/A,N/A,1.19,0.55,950.27,950.27,N/M,N/M,645466.248,5867809.039
35401,Shallow,29-May-17,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,15:50,2.32,1.68,,N/A,N/A,2.32,1.68,949.14,949.14,N/M,N/M,645466.248,5867809.039
